"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"";"";"";"";"";"";""
"-4360";"Macauley Island";"Kermadec Is";"New Zealand";"Caldera";"Holocene";"6"
"-4350";"Kikai";"Ryukyu Is";"Japan";"Caldera";"Historical";"7"
"-4050";"Masaya";"Nicaragua";"Nicaragua";"Caldera";"Historical";"6"
"-4000";"Pago";"New Britain-SW Pac";"Papua New Guinea";"Caldera";"Historical";"6"
"-3580";"Taal";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"6"
"-3550";"Pinatubo";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"6"
"-2040";"Long Island";"New Guinea-NE of";"Papua New Guinea";"Complex volcano";"Historical";"6"
"-1900";"Black Peak";"Alaska Peninsula";"United States";"Stratovolcano";"Radiocarbon";"6"
"-1890";"Hudson, Cerro";"Chile-S";"Chile";"Stratovolcano";"Historical";"6"
"-1860";"St. Helens";"US-Washington";"United States";"Stratovolcano";"Historical";"6"
"-1750";"Veniaminof";"Alaska Peninsula";"United States";"Stratovolcano";"Historical";"6"
"-1645";"Aniakchak";"Alaska Peninsula";"United States";"Caldera";"Historical";"6"
"-1610";"Santorini";"Greece";"Greece";"Shield volcano";"Historical";"6"
"-1550";"Redoubt";"Alaska-SW";"United States";"Stratovolcano";"Historical";""
"-1460";"Taupo";"New Zealand";"New Zealand";"Caldera";"Radiocarbon";"6"
"-1370";"Pago";"New Britain-SW Pac";"Papua New Guinea";"Caldera";"Historical";"6"
"-1050";"Pinatubo";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"6"
"-250";"Raoul Island";"Kermadec Is";"New Zealand";"Stratovolcano";"Historical";"6"
"-197";"Santorini";"Greece";"Greece";"Shield volcano";"Historical";"3"
"-150";"St. Andrew Strait";"Admiralty Is-SW Paci";"Papua New Guinea";"Complex volcano";"Historical";""
"-141";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";""
"-100";"Okmok";"Aleutian Is";"United States";"Shield volcano";"Historical";"6"
"-50";"Apoyeque";"Nicaragua";"Nicaragua";"Pyroclastic shield";"Radiocarbon";"6"
"46";"Santorini";"Greece";"Greece";"Shield volcano";"Historical";"3"
"50";"Ambrym";"Vanuatu-SW Pacific";"Vanuatu";"Pyroclastic shield";"Historical";"6"
"60";"Bona-Churchill";"Alaska-E";"United States";"Stratovolcano";"Radiocarbon";"6"
"79";"Vesuvius";"Italy";"Italy";"Complex volcano";"Historical";"5"
"200";"Arhab, Harra of";"Arabia-S";"Yemen";"Volcanic field";"Historical";""
"230";"Taupo";"New Zealand";"New Zealand";"Caldera";"Radiocarbon";"6"
"240";"Ksudach";"Kamchatka";"Russia";"Stratovolcano";"Historical";"6"
"350";"Augustine";"Alaska-SW";"United States";"Lava dome";"Historical";""
